n_clusters,Linkage,Silhouette Scores,Silhouette AVG
2,ward,0.22986517391700392,0.5889928253321227
2,complete,0.7087020424704956,0.5889928253321227
2,average,0.7087020424704956,0.5889928253321227
2,single,0.7087020424704956,0.5889928253321227
3,ward,0.22303333223418506,0.5137462462231248
3,complete,0.5393760141336952,0.5137462462231248
3,average,0.6497394395881103,0.5137462462231248
3,single,0.6428361989365086,0.5137462462231248
7,ward,0.07102441653679625,0.4431214644206578
7,complete,0.5270651056346922,0.4431214644206578
7,average,0.6076719772387031,0.4431214644206578
7,single,0.5667243582724397,0.4431214644206578
8,ward,0.034668799881024844,0.42973678533338133
8,complete,0.5101932572937093,0.42973678533338133
8,average,0.6072209398685425,0.42973678533338133
8,single,0.5668641442902487,0.42973678533338133
